lat,lng,status,lith,b_age,t_age,unit_name,map_source,age_mid,age_span,lith_metamorphic,lith_plutonic,lith_volcanic,lith_sedimentary,lith_unconsolidated,lith_schist,lith_gneiss,lith_quartz,lith_mafic,lith_felsic
30.8,-83.9,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.8,-83.8,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.8,-83.7,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.8,-83.6,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.8,-83.5,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.8,-83.4,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.8,-83.3,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
30.8,-83.2,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.8,-83.1,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
30.8,-83.0,OK,"Major:{sand,gravel}",5.333,0.0117,Pleistocene-Pliocene sands and gravels,133,2.6723500000000002,5.3213,0,0,0,0,1,0,0,0,0,0
30.8,-82.9,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
30.8,-82.8,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
30.8,-82.7,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
30.8,-82.6,OK,"Major:{sand,gravel}",5.333,0.0117,Pleistocene-Pliocene sands and gravels,133,2.6723500000000002,5.3213,0,0,0,0,1,0,0,0,0,0
30.8,-82.5,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.8,-82.4,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.8,-82.3,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.8,-82.2,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.8,-82.1,OK,Major:{sand},2.588,0.0117,Wicomico Shoreline Complex - barrier island facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.8,-82.0,OK,Major:{fine alluvium},2.588,0.0117,Penholoway shoreline complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.8,-81.8,OK,Major:{fine alluvium},2.588,0.0117,Pamlico shoreline complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.8,-81.7,OK,Major:{sand},2.588,0.0117,Pamlico shoreline complex - barrier island facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.8,-81.6,OK,Major:{fine alluvium},2.588,0.0117,Princess Anne shoreline complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.8,-81.5,OK,Major:{fine alluvium},0.0117,0.0,Holocene Shoreline Complex - marsh and lagoonal facies,133,0.00585,0.0117,0,0,0,0,1,0,0,0,0,0
30.9,-84.9,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
30.9,-84.8,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
30.9,-84.7,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
30.9,-84.6,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
30.9,-84.5,OK,Major:{limestone},31.9667,26.41,Suwannee Limestone and its residuum,133,29.18835,5.556699999999999,0,0,0,1,0,0,0,0,0,0
30.9,-84.4,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-84.3,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-84.2,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-84.1,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-84.0,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-83.9,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-83.8,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-83.7,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-83.6,OK,"Major:{dolostone,sand,clay}",17.6463,17.0875,Hawthorn Formation,133,17.3669,0.5588000000000015,0,0,0,1,1,0,0,0,0,0
30.9,-83.5,OK,"Major:{dolostone,sand,clay}",17.6463,17.0875,Hawthorn Formation,133,17.3669,0.5588000000000015,0,0,0,1,1,0,0,0,0,0
30.9,-83.4,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-83.3,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-83.2,OK,"Major:{sand,gravel}",5.333,0.0117,Pleistocene-Pliocene sands and gravels,133,2.6723500000000002,5.3213,0,0,0,0,1,0,0,0,0,0
30.9,-83.1,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
30.9,-83.0,OK,"Major:{sand,gravel}",5.333,0.0117,Pleistocene-Pliocene sands and gravels,133,2.6723500000000002,5.3213,0,0,0,0,1,0,0,0,0,0
30.9,-82.9,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
30.9,-82.8,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
30.9,-82.7,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
30.9,-82.6,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
30.9,-82.5,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.9,-82.4,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.9,-82.3,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.9,-82.2,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.9,-82.1,OK,Major:{sand},2.588,0.0117,Wicomico Shoreline Complex - barrier island facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.9,-82.0,OK,Major:{sand},2.588,0.0117,Penholoway shoreline complex - barrier island facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.9,-81.9,OK,Major:{fine alluvium},2.588,0.0,Stream alluvium,133,1.294,2.588,0,0,0,0,1,0,0,0,0,0
30.9,-81.8,OK,Major:{fine alluvium},2.588,0.0117,Pamlico shoreline complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.9,-81.7,OK,Major:{fine alluvium},2.588,0.0117,Pamlico shoreline complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.9,-81.6,OK,Major:{fine alluvium},2.588,0.0117,Princess Anne shoreline complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
30.9,-81.5,OK,,,,water,133,,,0,0,0,0,0,0,0,0,0,0
31.0,-85.0,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.0,-84.9,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.0,-84.8,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.0,-84.7,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.0,-84.6,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.0,-84.5,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.0,-84.4,OK,Major:{limestone},36.045,33.9,Ocala Limestone,133,34.9725,2.145000000000003,0,0,0,1,0,0,0,0,0,0
31.0,-84.3,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-84.2,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-84.1,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-84.0,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-83.9,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-83.8,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-83.7,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-83.6,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-83.5,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-83.4,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-83.3,OK,"Major:{dolostone,sand,clay}",17.6463,17.0875,Hawthorn Formation,133,17.3669,0.5588000000000015,0,0,0,1,1,0,0,0,0,0
31.0,-83.2,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.0,-83.1,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
31.0,-83.0,OK,"Major:{sand,gravel}",5.333,0.0117,Pleistocene-Pliocene sands and gravels,133,2.6723500000000002,5.3213,0,0,0,0,1,0,0,0,0,0
31.0,-82.9,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
31.0,-82.8,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
31.0,-82.7,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
31.0,-82.6,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
31.0,-82.5,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7,3.9605,2.745,0,0,0,1,0,0,0,0,0,0
31.0,-82.4,OK,"Major:{sand,gravel}",5.333,0.0117,Pleistocene-Pliocene sands and gravels,133,2.6723500000000002,5.3213,0,0,0,0,1,0,0,0,0,0
31.0,-82.3,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
31.0,-82.2,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
31.0,-82.1,OK,Major:{fine alluvium},2.588,0.0117,Penholoway shoreline complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
31.0,-82.0,OK,Major:{sand},2.588,0.0117,Penholoway shoreline complex - barrier island facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
31.0,-81.9,OK,Major:{sand},2.588,0.0117,Talbot shoreline complex - barrier island facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
31.0,-81.8,OK,Major:{fine alluvium},2.588,0.0117,Pamlico shoreline complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
31.0,-81.7,OK,Major:{fine alluvium},2.588,0.0117,Pamlico shoreline complex - marsh and lagoonal facies,133,1.29985,2.5763000000000003,0,0,0,0,1,0,0,0,0,0
31.0,-81.6,OK,Major:{fine alluvium},0.0117,0.0,Holocene Shoreline Complex - marsh and lagoonal facies,133,0.00585,0.0117,0,0,0,0,1,0,0,0,0,0
31.0,-81.5,OK,Major:{fine alluvium},0.0117,0.0,Holocene Shoreline Complex - marsh and lagoonal facies,133,0.00585,0.0117,0,0,0,0,1,0,0,0,0,0
31.1,-85.0,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.1,-84.9,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.1,-84.8,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.1,-84.7,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.1,-84.6,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.1,-84.5,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.1,-84.4,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7,37.474999999999994,0.6499999999999986,0,0,0,1,1,0,0,0,0,0
31.1,-84.3,OK,Major:{limestone},36.045,33.9,Ocala Limestone,133,34.9725,2.145000000000003,0,0,0,1,0,0,0,0,0,0
31.1,-84.2,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.1,-84.1,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.1,-84.0,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.1,-83.9,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.1,-83.8,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.1,-83.7,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.1,-83.6,OK,"Major:{dolostone,sand,clay}",17.6463,17.0875,Hawthorn Formation,133,17.3669,0.5588000000000015,0,0,0,1,1,0,0,0,0,0
31.1,-83.5,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.1,-83.4,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.1,-83.3,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.1,-83.2,OK,"Major:{sand,gravel}",5.333,0.0117,Pleistocene-Pliocene sands and gravels,133,2.6723500000000002,5.3213,0,0,0,0,1,0,0,0,0,0
31.1,-83.1,OK,"Major:{clay,sand,gravel}",2.1586,1.7292,Miccosukee Formation,133,1.9439,0.4293999999999998,0,0,0,0,1,0,0,0,0,0
31.1,-83.0,OK,"Major:{sand,gravel}",5.333,0.0117,Pleistocene-Pliocene sands and gravels,133,2.6723500000000002,5.3213,0,0,0,0,1,0,0,0,0,0
